Name,Value.gain,Value.bw,Value.constraint_gain_constraint,Value.constraint_pm_constraint,Value.LM1,Value.LM2,Value.LM3,Value.WM1,Value.WM2,Value.WM3,Value.Rb,Value.Vb
61,-0.593134545454545,-0.13139372,-32.6224,-15.0384790227861,4.10788028988886E-07,1.15825445267076E-06,9.55735582742182E-07,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.641304387432982
62,-0.473743818181818,-0.2825318,-26.05591,-28.6462704157111,2.7191150176099E-07,1.93924054134383E-07,3.77505334809183E-07,9.74705278155888E-05,9.63778304489418E-05,1.07899110625032E-05,105.066228461579,0.62266229467584
63,-0.607732545454545,-0.11801218,-33.42529,-11.9177135140051,4.10474652126431E-07,1.24476737353154E-06,1.15606267343377E-06,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.655797904321387
64,-0.601795454545455,-0.12344282,-33.09875,-12.8323401760907,4.10788028988886E-07,1.23531538586642E-06,1.08918119830822E-06,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.644643597335363
65,-0.599592909090909,-0.1255424,-32.97761,-13.5621638334142,4.10788028988886E-07,1.23513980412098E-06,1.03659560900139E-06,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.644643597335363
66,-0.607831272727273,-0.11792592,-33.43072,-11.9217777413222,4.10474652126431E-07,1.24315597713996E-06,1.15606267343377E-06,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.656264841462184
67,-0.606985272727273,-0.11873368,-33.38419,-12.1520438418966,4.10788028988886E-07,1.23513980412098E-06,1.1401853819959E-06,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.655797904321387
68,-0.614074181818182,-0.11223714,-33.77408,-12.9701253148476,4.10788028988886E-07,1.19154495284857E-06,1.03659560900139E-06,9.74705278155888E-05,9.63778304489418E-05,6.04791963619607E-06,105.066228461579,0.688724193364027
69,-0.547832,-0.17952808,-30.13076,-20.5814380059437,3.47784003158223E-07,7.5696251811738E-07,6.85254716091663E-07,9.74705278155888E-05,9.63778304489418E-05,1.02087069393529E-05,105.066228461579,0.62266229467584
70,-0.598667636363636,-0.12636822,-32.92672,-13.5675531575462,4.10788028988886E-07,1.23513980412098E-06,1.03659560900139E-06,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.641304387432982
71,-0.660110545454546,-0.0779181,-36.30608,-20.8451511246918,5.14810414892528E-07,2.30407382649523E-07,1.2826978415949E-06,9.74705278155888E-05,9.63778304489418E-05,5.55431707169376E-06,2157.48173067053,0.678795970863178
72,-0.578292363636364,-0.145546,-31.80608,-14.9815512105914,3.62042038620901E-07,9.81041381007673E-07,9.55735582742182E-07,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.644643597335363
73,-0.624303454545455,-0.10419194,-34.33669,-13.4372307786163,4.57866624289695E-07,1.23513980412098E-06,1.03659560900139E-06,9.74705278155888E-05,9.63778304489418E-05,6.04791963619607E-06,105.066228461579,0.688724193364027
74,-0.459174545454545,-0.3020618,-25.2546,-28.1761027270907,2.3236442423096E-07,1.85907401178059E-07,3.77505334809183E-07,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.641304387432982
75,-0.682663636363636,-0.06222866,-37.5465,-20.6636531948798,5.9448531797899E-07,1.85907401178059E-07,1.2826978415949E-06,9.74705278155888E-05,9.63778304489418E-05,4.22073926610503E-06,2715.31505579516,0.708799225186819
76,-0.661591090909091,-0.07695642,-36.38751,-21.1016523077106,5.14810414892528E-07,1.85907401178059E-07,1.2826978415949E-06,9.74705278155888E-05,9.63778304489418E-05,5.55431707169376E-06,2157.48173067053,0.678795970863178
77,-0.602504,-0.1227538,-33.13772,-13.5437108825989,4.10474652126431E-07,1.23513980412098E-06,1.03659560900139E-06,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.655797904321387
78,-0.472825636363636,-0.2841306,-26.00541,-28.7560337085262,2.7191150176099E-07,1.93924054134383E-07,3.77505334809183E-07,9.74705278155888E-05,9.33236799796706E-05,1.07899110625032E-05,105.066228461579,0.617189115794657
79,-0.669126545454546,-0.07128318,-36.80196,-20.741609331244,5.14810414892528E-07,2.63446442308953E-07,1.2826978415949E-06,9.74705278155888E-05,9.63778304489418E-05,4.22073926610503E-06,2715.31505579516,0.678795970863178
80,-0.665995636363636,-0.07326828,-36.62976,-20.3798047356599,5.14810414892528E-07,1.85907401178059E-07,1.2826978415949E-06,9.74705278155888E-05,9.63778304489418E-05,5.55431707169376E-06,2157.48173067053,0.708799225186819
81,-0.392459090909091,-0.433317,-21.58525,-32.5466450312838,2.09770414816309E-07,1.41059788264506E-07,3.77505334809183E-07,9.74705278155888E-05,8.54250086296184E-05,3.28737134777106E-05,105.066228461579,0.445043660592035
82,-0.585641090909091,-0.13788474,-32.21026,-15.9044590459943,4.10474652126431E-07,8.90535663637687E-07,9.55735582742182E-07,9.74705278155888E-05,9.63778304489418E-05,1.02087069393529E-05,105.066228461579,0.641304387432982
83,-0.571172727272727,-0.15357748,-31.4145,-17.0090983471471,3.62042038620901E-07,8.96548958772868E-07,8.47466738876054E-07,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.644643597335363
84,-0.666990545454545,-0.07294522,-36.68448,-21.6287532602425,5.14810414892528E-07,2.63446442308953E-07,1.2826978415949E-06,9.74705278155888E-05,9.63778304489418E-05,5.55431707169376E-06,2715.31505579516,0.671533717862347
85,-0.565269454545455,-0.15947212,-31.08982,-17.5433769954124,3.62042038620901E-07,7.5696251811738E-07,8.47466738876054E-07,9.74705278155888E-05,9.63778304489418E-05,1.07899110625032E-05,105.066228461579,0.641304387432982
86,-0.474379090909091,-0.2813892,-26.09085,-28.4881246805587,2.7191150176099E-07,1.93924054134383E-07,3.77505334809183E-07,9.74705278155888E-05,9.63778304489418E-05,1.02087069393529E-05,105.066228461579,0.62266229467584
87,-0.485329636363636,-0.2636756,-26.69313,-29.3145932959803,2.7191150176099E-07,1.41059788264506E-07,4.41112705792049E-07,9.74705278155888E-05,9.63778304489418E-05,1.07899110625032E-05,327.60343817383,0.58421347999936
88,-0.610190727272727,-0.1157398,-33.56049,-14.2204162768164,4.10474652126431E-07,1.15825445267076E-06,9.55735582742182E-07,9.74705278155888E-05,9.63778304489418E-05,6.04791963619607E-06,105.066228461579,0.688724193364027
89,-0.328033272727273,-0.5783844,-18.04183,-34.5452237489138,1.33237823963211E-07,1.85907401178059E-07,3.77505334809183E-07,9.74705278155888E-05,9.63778304489418E-05,3.28737134777106E-05,105.066228461579,0.445043660592035
90,-0.583200181818182,-0.14072988,-32.07601,-15.6818661189857,3.96516795518782E-07,8.90535663637687E-07,9.55735582742182E-07,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.641304387432982
91,-0.751547454545455,-0.0244784,-41.33511,-16.4915679394578,8.43470328200899E-07,1.93924054134383E-07,1.2826978415949E-06,9.74705278155888E-05,9.27136973908494E-05,9.78287698266748E-07,8806.83085869686,0.779924832636523
92,-0.611092545454545,-0.1146487,-33.61009,-11.3529958119443,4.10788028988886E-07,1.24476737353154E-06,1.22284731029037E-06,9.74705278155888E-05,9.33236799796706E-05,9.59591198082565E-06,105.066228461579,0.655797904321387
93,-0.553193272727273,-0.17287198,-30.42563,-20.4099978072384,3.47784003158223E-07,7.5696251811738E-07,6.85254716091663E-07,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.641304387432982
94,-0.56355,-0.16125716,-30.99525,-17.5080715870747,3.54723121989338E-07,7.5696251811738E-07,8.47466738876054E-07,9.74705278155888E-05,9.55120924159402E-05,1.07899110625032E-05,105.066228461579,0.641304387432982
